item_id,price,developer,release_date
1700,4.99,Arkane Studios,2002-11-12
6310,9.99,Funcom,2000-11-17
3990,4.99,Firaxis Games,2006-07-24
7610,9.99,PopTop,2003-10-23
7600,9.99,"Firaxis Games,Feral Interactive (Mac)",2006-10-16
7620,4.99,PopTop,1998-10-31
2540,4.99,Elephant Games,2007-06-01
7650,4.99,"MicroProse Software, Inc",1995-04-01
8000,8.99,"Crystal Dynamics,Feral Interactive (Mac)",2007-06-05
6550,19.99,"CAPCOM Co., Ltd.",2006-05-23
8200,19.99,Telltale Games,2006-10-17
2290,4.99,id Software,1996-06-17
8210,19.99,Telltale Games,2006-12-20
2280,4.99,id Software,1995-04-30
9160,14.99,id Software,1995-06-01
2300,4.99,id Software,1994-05-05
2270,4.99,id Software,1994-08-03
9010,4.99,Gray Matter Studios,2001-11-20
9040,2.99,Ritual Entertainment,1997-02-28
9000,2.99,id Software,1993-10-10
3810,9.99,Terminal Reality,2003-09-09
9030,2.99,Rogue Entertainment,2007-08-03
2310,4.99,id Software,2007-05-31
3230,4.99,Metamorf,2007-03-20
9310,12.99,Relic Entertainment,2006-01-01
7670,19.99,"2K Boston,2K Australia",2007-08-21
4570,12.99,Relic Entertainment,2006-01-01
4580,12.99,Relic Entertainment,2006-10-09
4760,9.99,The Creative Assembly,2004-09-22
4770,4.99,The Creative Assembly,2006-06-26
50970,6.99,Big Fish Games,2007-12-14
12130,9.99,Rockstar North,2004-04-20
12160,9.99,Rockstar San Diego,2003-07-01
12150,9.99,Remedy Entertainment,2003-10-14
7000,6.99,Crystal Dynamics,2006-04-07
12140,9.99,Remedy Entertainment,2001-07-25
17480,19.99,EA Los Angeles,2008-10-28
12500,9.99,Infinite Interactive,2007-10-10
12310,9.99,Momentum Digital Media Technologies,2007-10-23
12510,9.99,"Gamebryo,Virtual Playground",2007-08-01
12530,9.99,SCS Software,2007-09-01
12520,9.99,SCS Software,2007-12-03
8100,5.99,Pivotal Games,2008-02-08
2780,7.99,Bohemia Interactive,2007-05-08
9710,9.99,Spellbound,2006-05-02
9800,4.99,Haggard Games,2007-10-16
9760,2.99,Eugen Systems,2006-05-30
2700,19.99,"Frontier,Aspyr (Mac)",2006-10-26
2710,2.99,Eugen Systems,2005-03-14
13200,14.99,"Epic Games, Inc.",2003-02-03
13250,9.99,"Epic Games, Inc.",1998-04-30
13000,4.99,Sanzaru Games,2008-03-21
13560,9.99,Ubisoft,2003-02-18
13520,9.99,Crytek Studios,2004-03-23
13240,9.99,"Epic Games, Inc.",2000-10-25
13540,9.99,Ubisoft Montreal,2006-12-12
15210,9.99,Ubisoft,2005-03-15
16180,9.99,Last Day of Work,2008-05-28
3520,4.99,SpinTop Games,2008-06-04
15970,9.99,MumboJumbo,2008-06-10
15950,9.99,MumboJumbo,2008-06-10
15960,9.99,MumboJumbo,2008-06-10
15900,9.99,MumboJumbo,2008-06-10
15910,9.99,MumboJumbo,2005-12-08
15930,9.99,MumboJumbo,2007-11-13
15160,9.99,Ubisoft,2007-11-13
15920,9.99,MumboJumbo,2005-12-08
15080,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",2007-03-27
15200,9.99,Ubisoft Romania,2007-03-20
15320,9.99,1C: Maddox Games,2006-12-15
15240,9.99,Ubisoft Romania,2008-03-24
8310,9.99,Telltale Games,2005-09-15
12600,9.99,"Merscom,Babylon",2005-07-02
8320,9.99,Telltale Games,2006-04-12
12590,9.99,BigAnt Studios,2008-07-29
12580,9.99,Zemnott,2008-01-08
12560,9.99,Gabriel Entertainment,2007-07-02
12570,9.99,Zemnott,2008-01-12
12540,9.99,Zemnott,2007-08-08
11050,9.99,Frogwares,2008-05-20
11040,9.99,Frogwares,2008-04-14
19500,4.99,"Luc Bernard,SilverSphereStudios",2008-07-31
11260,7.99,Lesta Studio,2007-05-25
19200,4.99,Dialogue Design,2008-08-21
12360,19.99,Bugbear Entertainment,2008-08-19
15710,2.99,Oddworld Inhabitants,1998-11-17
15700,2.99,Oddworld Inhabitants,1997-12-12
8660,7.99,SimBin,2008-09-01
7770,4.99,"MicroProse Software, Inc",2001-04-19
7660,4.99,"MicroProse Software, Inc",1997-07-15
7760,4.99,"MicroProse Software, Inc",1993-12-31
20510,9.99,GSC Game World,2008-09-15
17330,19.99,Crytek,2008-09-17
17300,19.99,Crytek,2007-11-13
7730,4.99,"MicroProse Software, Inc",1998-06-15
20900,9.99,CD PROJEKT RED,2008-09-16
1530,9.99,Introversion Software,2008-09-19
8690,2.99,SimBin,2008-10-22
17120,2.49,"Tilted Mill Entertainment, Inc.",2008-08-28
16810,19.99,Firaxis Games,2008-09-23
19830,9.99,"Red Storm Entertainment,Ubisoft Montreal",2003-03-18
21000,19.99,Traveller's Tales,2008-09-29
4460,9.99,Monte Cristo,2008-07-18
17140,9.99,"Tilted Mill Entertainment, Inc.",2008-09-30
15390,9.99,Gearbox Software,2008-10-08
21300,4.99,Dark Castle Software,2008-08-31
3050,4.99,Techland,2006-12-01
15380,9.99,Nival,2006-11-14
19800,9.99,Gearbox Software,2005-10-04
15370,9.99,Nival,2007-10-16
19930,19.99,Blue Byte,2008-04-18
15350,9.99,Ubisoft,2007-09-25
19810,9.99,Red Storm Entertainment,2002-05-31
3540,4.99,"PopCap Games, Inc.",2008-10-15
22000,9.99,2D BOY,2008-10-13
2820,15.99,Egosoft,2008-10-16
1230,Free,Sandstorm Productions,2008-10-17
18300,4.99,Shorebound Studios,2008-10-20
20200,19.99,Perpetual FX Creative,2008-10-21
12200,14.99,Rockstar New England,2008-10-21
19900,9.99,Ubisoft Montreal,2008-10-22
11240,4.99,Meridian4,2008-10-23
256522,4.99,RailSimulator.com,2009-01-01
275144,4.99,RailSimulator.com,2009-01-01
256521,4.99,RailSimulator.com,2009-01-01
222569,4.99,Reppo,2009-01-01
256535,4.99,RailSimulator.com,2009-01-01
256611,4.99,Dovetail Games,2009-01-01
256576,4.99,Dovetail Games,2009-01-01
9480,9.99,Volition,2009-01-28
17470,19.99,EA Redwood Shores,2008-10-20
12770,9.99,Liquid Entertainment,2008-12-16
17410,19.99,DICE,2009-01-13
18500,9.99,Hidden Path Entertainment,2008-12-08
16450,14.99,Monolith,2009-02-12
15400,7.99,Oxeye Game Studio,2008-03-05
18600,9.99,Inventive Dingo,2007-07-04
11340,4.99,Meridian4,2009-03-19
25830,9.99,Black Sea Studios Ltd,2005-05-10
23460,5.99,Realmforge Studios,2009-02-27
10600,2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009-03-04
21010,4.99,Deadline Games,2009-03-04
22180,9.99,Frictional Games,2007-03-30
13210,19.99,"Epic Games, Inc.",2007-11-19
12640,9.99,Radon Labs,2009-02-27
27020,4.99,Tale of Tales,2008-03-21
24740,19.99,Criterion Games,2009-02-03
26000,9.99,Twisted Pixel Games,2009-03-09
26006,1.25,Twisted Pixel Games,2009-03-16
26005,1.25,Twisted Pixel Games,2009-03-16
11330,4.99,IonFX,2009-03-19
27800,9.99,Llamasoft LTD,2009-03-19
9850,14.99,"InnoGlow,Stormregion,THQ Nordic",2009-03-10
3600,4.99,SpinTop Games,2009-04-15
29580,19.99,ArenaNet®,2006-10-27
29540,19.99,ArenaNet®,2005-04-28
29560,19.99,ArenaNet®,2006-04-28
29570,29.99,ArenaNet®,2008-09-25
23700,14.99,Infinite Interactive,2009-04-16
16060,9.99,MumboJumbo,2009-04-29
1930,9.99,Reality Pump Studios,2009-04-30
18470,9.99,Spellbound,2009-04-30
7510,9.99,Gaijin Entertainment,2009-02-10
22200,9.99,ACE Team,2009-04-21
26007,1.25,Twisted Pixel Games,2009-04-29
25900,6.99,1C Company,2008-09-23
16200,9.99,Last Day of Work,2009-05-06
7840,2.99,Sky Fallen,2009-05-06
8890,4.99,Irrational Games,2005-03-08
8880,4.99,Irrational Games,2002-03-26
34500,14.99,SaintXi,2009-06-04
1280,Free,Darklight Games,2009-06-09
10150,19.99,Radical Entertainment,2009-06-10
29160,4.99,Erik Svedäng,Jun 2009
12470,4.99,Ascaron Entertainment ltd.,2004-04-30
22340,4.99,Headfirst Productions,2006-04-26
22330,14.99,Bethesda Game Studios,2007-09-11
22320,14.99,Bethesda Game Studios,2002-04-29
900883,19.99,Bethesda Game Studios®,2009-06-16
12440,4.99,Deck 13,2007-05-18
32710,9.99,NovaLogic,1999-09-01
32740,9.99,NovaLogic,1998-09-07
12460,4.99,Mascot Entertainment,2008-09-15
21980,9.99,Techland,2009-06-30
31860,6.99,HeR Interactive,2007-10-01
31900,6.99,HeR Interactive,2006-10-01
31920,6.99,HeR Interactive,2008-07-01
31930,6.99,HeR Interactive,2007-07-01
35800,Free to Play,Digital Eel,2008-12-24
31170,19.99,Telltale Games,2009-07-07
21660,19.99,Capcom,2009-07-07
6080,9.99,Frontier,2007-10-09
6010,5.99,LucasArts,1992-06-01
6090,5.99,Planet Moon Studios,2003-12-02
6060,9.99,Pandemic Studios,2005-11-01
32310,5.99,LucasArts,1989-07-01
32330,19.99,Traveller's Tales,2008-06-03
32360,9.99,LucasArts,2009-07-15
35300,12.99,GFI Russia,2008-11-20
35310,9.99,Targem Games,2009-06-02
31980,6.99,HeR Interactive,2009-07-21
10140,9.99,Wanako Games,2006-12-20
10100,19.99,Sierra,2006-09-01
10130,19.99,Saber Interactive,2007-10-30
10110,19.99,Sierra,2006-09-01
1256,7.99,Tripwire Interactive,2009-07-24
10120,9.99,Artech Studios,2008-06-04
33520,6.99,"PopTop Software,BreakAway Games,Frog City Software",2009-07-24
3610,4.99,SpinTop Games,2009-07-27
21680,9.99,Capcom,2008-08-14
21670,9.99,Capcom,2009-07-28
21030,4.99,Deadline Games,2009-07-29
36000,4.99,Sakari Indie,2009-08-04
32370,9.99,"BioWare,Aspyr (Mac)",2003-11-19
29180,9.99,Hemisphere Games,2009-08-18
38410,9.99,Black Isle Studios,1998-12-01
38420,9.99,14° East,2001-03-01
38430,9.99,Xatrix Entertainment,1999-06-01
38440,9.99,Shiny Entertainment,2000-11-01
31180,19.99,Telltale Games,2009-08-20
37960,19.99,iWin,2009-08-24
38000,9.99,iWin,2009-08-24
37400,4.99,Size Five Games,2009-06-22
13570,9.99,Ubisoft Montreal,2005-03-29
34420,4.99,Unicorn Games Studio,2009-08-28
43100,14.99,Blue Fang,2009-10-30
35000,9.99,IO Interactive,2009-09-08
39392,19.99,"Freeze Tag Inc.,iQ212",2009-09-23
39391,19.99,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",1999-11-30
37600,2.99,"Vectorpark, Inc.",2009-05-26
24029,24.99,All Aboard,2009-09-25
32140,9.99,MumboJumbo,2009-09-28
31190,19.99,Telltale Games,2009-09-07
32770,19.99,NovaLogic,2009-08-18
208306,17.99,Dovetail Games,2009-10-01
37300,9.99,PlayFirst,2009-09-30
208300,19.99,Dovetail Games,2009-10-01
40300,9.99,Piranha Bytes,2009-10-30
35070,3.99,Honeyslug,2009-10-01
10606,9.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009-10-05
40700,9.99,Amanita Design,2009-10-16
24840,9.99,EA Los Angeles,2007-09-04
24870,19.99,Slightly Mad Studios,2009-09-15
41500,14.99,Runic Games,2009-10-27
24800,19.99,EA Los Angeles,2009-03-12
901735,19.99,FireFly Studios,2009-10-27
42800,4.99,Nitro Games,2009-10-27
39560,9.99,Homegrown Games,2009-10-27
39550,14.99,"Phenomic,THQ Nordic",2009-10-29
40330,9.99,Animation Arts,2009-10-29
40320,4.99,Stormregion,2009-10-29
31200,19.99,Telltale Games,2009-10-07
3130,4.99,1C Company,2009-11-01
41100,4.99,Konstantin Koshutin,2009-09-19
39540,9.99,Phenomic,2009-11-03
34640,9.99,Wargaming.net,2005-03-03
34630,9.99,Wargaming.net,2003-10-28
42200,6.99,HeR Interactive,2009-11-19
41000,14.99,Croteam,2009-11-24
40340,9.99,Animation Arts,2009-10-29
17450,19.99,BioWare,2009-11-06
37100,4.99,Citeremis Inc.,2009-05-07
37500,1.99,Yullaby,2009-11-05
42810,9.99,Crystal Empire Games,2009-11-11
10180,19.99,"Infinity Ward,Aspyr (Mac)",2009-11-12
32440,19.99,"Traveller's Tales,Feral Interactive (Mac)",2009-11-12
11450,4.99,"Triumph Studios,Virtual Programming",2007-06-26
12710,9.99,"Triumph Studios,Virtual Programming",2008-02-15
24790,14.99,EA Los Angeles,2007-03-28
29120,4.99,KranX Productions,2008-07-23
24810,19.99,EA Los Angeles,2009-11-13
41800,14.99,Positech Games,2009-11-16
45300,9.99,Gaijin Entertainment,2009-12-25
41900,9.99,inXile Entertainment,2005-06-17
35420,Free,Defence Alliance Team,2009-10-22
32430,19.99,"LucasArts,Aspyr Studios",2009-11-03
25806,9.99,Paradox Interactive,2009-12-15
22370,19.99,Bethesda Game Studios,2009-10-13
41802,5.99,Positech Games,2009-12-16
38080,9.99,Hip Soft,2007-10-02
38090,9.99,Hip Soft,2008-04-29
38100,9.99,Hip Soft,2009-01-24
38070,9.99,iWin,2009-12-17
38210,1.99,Spidermonk Entertainment,2009-12-17
45700,19.99,Capcom,2008-07-08
46410,9.99,ClockStone Studios,2010-03-17
38110,9.99,Hip Soft,2009-08-12
17570,Free,Octoshark Studios,2010-02-12
38130,4.99,Alawar,2008-08-27
38160,9.99,Alawar,2010-01-06
38150,9.99,Alawar,2009-09-11
38120,4.99,Alawar,2007-12-07
38140,4.99,Alawar,2009-02-18
36300,6.99,Sandlot Games,2010-02-16
36310,6.99,Sandlot Games,2010-02-16
36320,6.99,Cateia Games,2010-02-16
37030,9.99,Chaos Concept,2010-02-17
32450,19.99,Traveller's Tales,2010-02-18
44100,4.99,New Star Games Ltd,2010-02-18
25960,0.99,Paradox Interactive,2010-02-18
46250,6.99,The Farm 51,2010-02-19
38180,9.99,Awem Studio,2007-12-01
10695,7.49,Rebellion,2010-03-18
41050,9.99,Croteam,2001-03-21
24055,19.99,All Aboard,2010-03-19
48700,19.99,TaleWorlds Entertainment,2010-03-31
39900,4.99,ZoopTEK,2010-03-26
49900,4.99,Beatnik Games,2010-04-05
42120,9.99,Fatshark,2010-04-08
12220,19.99,Rockstar North / Toronto,2010-04-12
45730,4.99,Other Ocean Interactive,2010-04-12
45400,0.99,Nemesys Games,2010-04-14
49600,9.99,Cold Beam Games,2010-04-15
901399,19.99,Telltale Games,2010-04-15
43500,9.99,Realmforge Studios,2010-04-19
45302,4.99,Gaijin Entertainment,2010-04-19
40930,4.99,The Odd Gentlemen,2010-04-20
39640,4.99,THQ Nordic,2003-08-19
39630,4.99,THQ Nordic,2001-11-30
23150,1.99,Red Chain Games Ltd.,2010-04-20
50940,9.99,Big Fish Games,2006-07-19
50920,9.99,Big Fish Games,2008-06-19
34178,2.99,"The Creative Assembly,Feral Interactive (Mac)",2010-05-05
37340,6.99,Sarbakan,2008-12-31
37390,6.99,PlayFirst,2009-09-24
37310,6.99,Absolutist Ltd.,2009-07-27
37360,6.99,PlayFirst,2007-10-19
49000,6.99,PlayFirst,2009-12-24
37330,6.99,PlayFirst,2010-03-19
37320,6.99,PlayFirst,2008-02-11
37370,6.99,PlayFirst,2007-12-31
37380,6.99,PlayFirst,2009-12-21
19080,9.99,G5 Entertainment,2010-05-07
19030,14.99,Climax Studios,2010-05-11
49800,4.99,Muse Games,2010-05-12
33650,4.99,Ideas Pad,2010-05-28
901478,19.99,Ubisoft,2010-06-08
33660,4.99,Kokakiki,2010-05-28
34281,2.99,SEGA,2010-06-01
34272,2.99,SEGA,2010-06-01
34270,61.99,D3T Limited,2010-06-01
34276,2.99,SEGA,2010-06-01
34274,2.99,SEGA,2010-06-01
34275,2.99,SEGA,2010-06-01
34277,2.99,SEGA,2010-06-01
34273,2.99,SEGA,2010-06-01
34280,2.99,SEGA,2010-06-01
34278,4.99,SEGA,2010-06-01
34282,2.99,SEGA,2010-06-01
34279,2.99,SEGA,2010-06-01
34010,14.99,Obsidian Entertainment,2010-06-01
22610,9.99,Team17 Software Ltd.,2010-06-03
22440,4.99,Bethesda Game Studios,2010-07-16
18508,0.99,Hidden Path Entertainment,2010-06-02
22430,4.99,Bethesda Game Studios,2010-07-16
22410,4.99,Bethesda Game Studios,2010-07-16
22420,4.99,Bethesda Game Studios,2010-07-16
630,Free,Valve,2010-07-19
22400,4.99,Bethesda Game Studios,2010-07-16
24780,19.99,"EA - Maxis,Aspyr (Mac)",2003-09-22
33670,14.99,"Akella,.dat",2010-07-16
40420,4.99,"Arcen Games, LLC",2010-07-16
34920,9.99,Invent4 Entertainment,2010-07-19
48136,3.99,Blue Byte,2010-07-21
46720,9.99,Dagger Games,2008-12-08
28000,9.99,IO Interactive,2010-08-17
39680,9.99,Rune Forge,2010-07-28
25962,0.99,Paradox Interactive,2010-07-26
24634,19.99,N3V Games,2010-08-06
63900,4.99,Ino-Co,2010-08-06
50130,29.99,"2K Czech,Feral Interactive (Mac)",2011-03-22
24075,4.99,Dovetail Games,2010-08-06
47540,9.99,Infinite Interactive,2010-08-12
50510,9.99,doublesix,2010-08-12
25760,1.99,Playbrains,2010-08-16
25763,1.99,Playbrains,2010-08-16
25762,1.99,Playbrains,2010-08-16
25764,2.99,Playbrains,2010-08-16
42980,9.99,Paradox Development Studio,2010-08-20
48800,19.99,VStep,2010-08-27
22600,19.99,Team17 Digital Ltd,2010-08-26
46770,14.99,Muzzy Lane Software,2010-06-22
65700,8.99,Bohemia Interactive,2010-08-27
42960,19.99,Paradox Development Studio,2010-08-30
25761,1.99,Playbrains,2010-08-16
28010,5.99,IO Interactive,2010-08-31
28012,1.99,IO Interactive,2010-08-31
24640,19.99,N3V Games,2010-09-01
28011,2.99,IO Interactive,2010-08-31
4850,4.99,GSC Game World,2002-11-01
57640,5.99,Revolution Software Ltd,2010-09-02
62100,4.99,Zoë Mode,2010-09-06
50145,9.99,"2K Czech,Feral Interactive (Mac)",2010-09-06
34841,1.99,City Interactive,2010-09-08
70300,4.99,Terry Cavanagh,2010-09-07
48137,3.99,Blue Byte,2010-09-08
57300,19.99,Frictional Games,2010-09-08
70400,19.99,EasyGameStation,2010-09-10
46600,3.99,Dedication Games,2010-08-19
34314,2.99,SEGA,2010-09-13
34310,2.99,SEGA,2010-09-13
70100,4.99,exosyphen studios,2010-09-14
70110,4.99,exosyphen studios,2010-09-14
38600,9.99,Subsoap,2010-09-17
57620,14.99,Gaming Minds Studios,2010-09-17
34284,2.99,SEGA,2010-09-13
63910,14.99,Katauri Interactive,2010-09-17
24082,4.99,Dovetail Games,2010-09-17
8930,29.99,"Firaxis Games,Aspyr (Mac, Linux)",2010-09-21
49310,4.99,Nitro Games,2010-09-21
41060,9.99,Croteam,2002-02-05
70900,9.99,Blind Mind Studios,2010-09-20
9940,2.99,Krome Studios,2010-09-22
22650,9.99,Team17 Digital Ltd,2010-09-22
50620,19.99,Vigil Games,2010-09-23
2840,4.99,Egosoft,1999-07-01
42920,9.99,NeoCoreGames,2010-10-08
29700,19.99,ArenaNet®,2007-08-31
2850,4.99,Egosoft,2000-06-01
61510,9.99,Triumph Studios,Oct 2010
70200,7.99,I Sioux Game Productions B.V.,2010-10-11
70210,14.99,I Sioux Game Productions B.V.,2010-10-11
61520,9.99,Triumph Studios,Oct 2010
61500,5.99,Triumph Studios,Oct 2010
47790,19.99,Electronic Arts,2010-10-12
46450,9.99,"Headup Games,Silent Dreams",2010-10-15
45750,19.99,"CAPCOM CO., LTD.",2010-10-15
57800,4.99,Stickmen Studios,2010-10-15
22380,9.99,Obsidian Entertainment,2010-10-19
67000,6.99,Dmytry Lavrov,2010-10-15
80300,4.99,Ivy Games,2010-10-22
50000,9.99,Noumenon Games,2010-10-25
16868,4.99,"Firaxis Games,Aspyr (Mac, Linux)",2010-10-25
18040,14.99,Hothead Games,2010-10-25
71115,2.99,SEGA,2010-10-26
34317,2.99,SEGA,2010-10-26
71114,2.99,SEGA,2010-10-26
71112,2.99,SEGA,2010-10-26
71113,4.99,SEGA,2010-10-26
71111,2.99,SEGA,2010-10-26
71110,2.99,SEGA,2010-10-26
34319,2.99,SEGA,2010-10-26
34318,2.99,SEGA,2010-10-26
34316,2.99,SEGA,2010-10-26
34315,2.99,SEGA,2010-10-26
6120,9.99,Klei Entertainment,2010-10-25
35460,9.99,Teotl Studios,2010-10-26
32500,19.99,Aspyr Studios,2010-10-26
62000,4.99,Firemint,2010-11-18
33570,4.99,Ascaron Entertainment ltd.,2010-11-18
63700,9.99,Gaijin Games,2010-11-02
46362,1.99,1C Company,2010-11-02
49320,4.99,Nitro Games,2010-11-02
72400,4.99,Tomkorp Computer Solutions Inc.,2010-11-18
42964,1.99,Paradox Interactive,2010-11-02
43011,3.99,Double Helix Games,2010-11-02
33980,9.99,Centauri Production,2010-11-05
65710,6.99,Centauri Production,2009-10-01
33990,12.99,Centauri Production,2010-11-03
33950,4.99,Altar Games,2007-04-05
65400,9.99,React Games,2010-11-02
42700,39.99,Treyarch,2010-11-09
38923,0.99,Sonic Boom Games,2010-11-09
72500,4.99,Joshyy,2010-12-02
15740,4.99,Oddworld Inhabitants,2010-12-20
38924,1.99,Sonic Boom Games,2010-11-09
15750,9.99,Oddworld Inhabitants,2010-12-20
45500,4.99,"Ntreev Soft Co., Ltd.",2010-12-23
31290,19.99,Telltale Games,2010-12-23
12100,9.99,Rockstar Games,2002-05-21
12120,14.99,Rockstar Games,2005-06-06
35135,3.49,Crystal Dynamics Inc.,2011-01-07
35137,3.49,Crystal Dynamics Inc.,2011-01-07
35138,3.49,Crystal Dynamics,2011-01-07
35136,3.49,Crystal Dynamics Inc.,2011-01-07
12110,9.99,Rockstar Games,2003-05-13
33390,9.99,Brightside Games,2011-01-12
92300,4.99,Extend Studio,2011-01-20
80000,14.99,BlueGiant Interactive,2011-01-20
47780,19.99,Visceral Games,2011-01-25
51060,9.99,Big Fish Studios,2011-01-19
65080,4.99,Cateia Games,2011-01-20
71168,2.99,SEGA,2011-01-26
63200,4.99,Uber Entertainment,2011-01-24
60340,9.99,MumboJumbo,2011-01-25
71116,2.99,SEGA,2011-01-26
71161,2.99,SEGA,2011-01-26
71119,2.99,SEGA,2011-01-26
71118,2.99,SEGA,2011-01-26
71117,2.99,SEGA,2011-01-26
71166,4.99,SEGA,2011-01-26
71165,2.99,SEGA,2011-01-26
71163,4.99,SEGA,2011-01-26
71164,2.99,SEGA,2011-01-26
71162,4.99,SEGA,2011-01-26
71160,2.99,SEGA,2011-01-26
71120,2.99,SEGA,2011-01-26
47890,19.99,The Sims Studio,2009-06-02
48802,3.99,VStep,2011-01-26
47896,19.99,The Sims Studio,2010-09-07
47892,19.99,The Sims Studio,2009-11-17
47894,19.99,The Sims Studio,2010-10-26
47893,19.99,The Sims Studio,2010-06-02
47895,19.99,The Sims Studio,2010-02-02
42000,4.99,Trinoteam,2011-01-27
47570,14.99,Virtual Prophecy Entertainment,2011-01-28
47897,19.99,The Sims Studio,2011-02-01
57700,5.99,Mediatonic,2011-01-31
63660,5.99,Cyan Worlds,2011-02-02
90504,2.99,Petroglyph,2011-02-01
7520,19.99,Reality Pump Studios,2011-02-03
9930,19.99,Eden Studios,Feb 2011
24449,3.99,NeoCoreGames,2011-02-03
41814,6.99,Positech Games,2011-02-11
42925,3.99,NeoCoreGames,2011-02-09
57650,9.99,Realmforge Studios,2011-02-10
40407,4.99,"Arcen Games, LLC",2011-02-14
33770,19.99,DTP,2011-01-11
47800,9.99,Stainless Games,2011-03-08
18408,4.99,Fakt Software,2011-03-11
63710,9.99,Gaijin Games,2011-02-28
55100,19.99,"Kaos Studios,Digital Extremes",2011-03-14
80200,9.99,Red Redemption,2011-02-28
92400,2.99,Copenhagen Game Collective,2011-02-28
56436,0.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-02-28
56435,0.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-02-28
56433,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-02-28
56432,0.99,"Relic Entertainment,Feral interactive (Mac/Linux)",2011-02-28
56431,0.99,"Relic Entertainment,Feral interactive (Mac/Linux)",2011-02-28
39120,Free to Play,Trion Worlds,2013-10-24
56437,29.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-02-28
94000,3.99,Stout Games,2011-03-01
56434,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-02-28
92700,9.99,Black Lion Studios,2011-04-05
73012,3.99,Colossal Order Ltd.,2011-04-05
48803,3.99,VStep,2011-04-05
56536,6.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-04-06
44620,3.99,SimBin,2011-04-08
91200,9.99,11 bit studios,2011-04-08
46790,14.99,Ntronium Games,2010-06-10
73170,9.99,Martin Ivanov,2011-04-08
57655,3.99,Realmforge Studios,2011-04-11
70000,9.99,800 North and Digital Ranch,2011-04-08
57730,9.99,Gaming Minds Studios,2011-04-11
620,19.99,Valve,2011-04-18
42918,4.99,Arrowhead Game Studios,2011-04-12
91600,9.99,Coffee Stain Studios,2011-04-15
73020,19.99,1C:InoCo,2011-04-19
56482,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-05-26
56438,9.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-04-20
56481,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-05-26
98200,24.99,Mode 7,2011-05-26
56480,2.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011-05-26
72905,4.99,inner seas,2011-05-27
22450,4.99,inXile Entertainment,2011-05-30
42140,9.99,Fatshark,2011-05-31
47898,19.99,The Sims Studio,2011-05-31
